Creator	Source	Duration (sec)	Location	Day of Week	Time(HHMM)	Date (YYYYMMDD)	Label
Alice	API	1345	New York	Wednesday	0054	20231227	1
Alice	API	2703	New York	Saturday	0431	20230701	1
Charlie	Web_Scraper	1450	New York	Sunday	1115	20230430	1
Delta_Bot	Manual_Entry	1158	New York	Friday	0804	20230602	0
Charlie	Manual_Entry	484	Remote	Friday	0139	20231103	1
Alice	Manual_Entry	2037	New York	Saturday	0739	20230311	0
Alice	Manual_Entry	242	Mumbai	Wednesday	1952	20230614	1
Alice	Manual_Entry	2585	Mumbai	Friday	2003	20230407	1
Alice	Web_Scraper	3429	London	Saturday	0259	20231209	1
Delta_Bot	Web_Scraper	2802	New York	Wednesday	0814	20231101	0
Alice	Manual_Entry	252	Remote	Wednesday	1333	20230816	1
Charlie	Manual_Entry	1431	Mumbai	Thursday	1734	20230323	1
Alice	API	2338	London	Sunday	1329	20230625	1
Delta_Bot	API	2659	London	Saturday	2243	20230527	0
Delta_Bot	API	1567	Mumbai	Saturday	1243	20230325	0
Alice	Web_Scraper	2448	Remote	Sunday	2330	20230723	1
Delta_Bot	Web_Scraper	293	Mumbai	Wednesday	1926	20231011	0
Charlie	Manual_Entry	2269	Mumbai	Tuesday	2312	20230808	0
Charlie	API	669	New York	Friday	1222	20230127	1
Delta_Bot	API	2523	Remote	Saturday	0350	20230708	0
Bob	Web_Scraper	2229	Mumbai	Tuesday	1731	20230124	1
Bob	Manual_Entry	1541	Mumbai	Monday	0714	20231002	0
Bob	Manual_Entry	1063	Remote	Friday	0801	20231201	1
Delta_Bot	API	1749	Mumbai	Monday	1736	20230828	0
Alice	Manual_Entry	2282	London	Sunday	1412	20230423	1
Charlie	API	2683	New York	Monday	1515	20230227	1
Bob	API	1495	New York	Monday	2310	20230904	1
Charlie	Web_Scraper	3557	Remote	Monday	1923	20230213	1
Bob	Manual_Entry	409	New York	Saturday	0514	20231125	1
Alice	API	2601	Remote	Thursday	2306	20231019	1
Charlie	API	1929	London	Thursday	1051	20230608	1
Bob	API	3311	New York	Sunday	1901	20231231	1
Delta_Bot	Manual_Entry	220	Remote	Saturday	2032	20231028	0
Delta_Bot	API	3089	Remote	Tuesday	0657	20230124	0
Alice	Manual_Entry	449	Remote	Tuesday	2324	20231212	1
Charlie	Web_Scraper	261	Mumbai	Saturday	1457	20230325	0
Alice	Web_Scraper	1342	Remote	Friday	0643	20230120	1
Alice	Manual_Entry	1430	Remote	Saturday	0248	20230415	0
Alice	API	463	London	Sunday	0103	20230827	1
Charlie	Manual_Entry	1855	London	Wednesday	0840	20230405	0
Alice	Web_Scraper	34	Mumbai	Tuesday	1507	20231114	1
Delta_Bot	Manual_Entry	1184	London	Saturday	1913	20230722	0
Delta_Bot	Manual_Entry	2142	New York	Sunday	0028	20230604	0
Bob	API	1980	Mumbai	Saturday	0025	20231223	1
Charlie	API	459	Remote	Sunday	1054	20230514	1
Delta_Bot	Manual_Entry	2382	New York	Wednesday	0731	20230215	0
Bob	Web_Scraper	1679	Remote	Wednesday	1613	20230104	1
Charlie	API	702	Remote	Sunday	1306	20231231	1
Delta_Bot	API	2521	New York	Saturday	1004	20230304	0
Charlie	Manual_Entry	689	Remote	Thursday	0700	20230209	0
Charlie	API	1732	Mumbai	Friday	0358	20230707	1
Charlie	API	1199	New York	Thursday	0245	20231207	1
Charlie	Manual_Entry	3239	Mumbai	Thursday	2345	20230223	0
Alice	API	1958	New York	Tuesday	1831	20230801	1
Bob	Manual_Entry	971	Mumbai	Wednesday	0048	20231206	1
Alice	API	2852	Remote	Wednesday	1631	20230816	1
Alice	API	2008	Remote	Sunday	0917	20230212	1
Bob	API	2063	Remote	Friday	2258	20230310	1
Bob	Web_Scraper	1307	Mumbai	Wednesday	0507	20231220	1
Delta_Bot	API	2604	New York	Wednesday	0457	20230419	0
Bob	Manual_Entry	469	London	Saturday	1708	20230902	1
Bob	API	881	London	Wednesday	0004	20230823	1
Bob	Web_Scraper	3123	London	Sunday	2356	20231022	0
Charlie	Manual_Entry	2518	London	Wednesday	1234	20230215	1
Bob	API	314	New York	Thursday	1007	20230126	1
Bob	Manual_Entry	1620	New York	Tuesday	0831	20230516	1
Bob	API	3495	New York	Sunday	1149	20230319	1
Charlie	Manual_Entry	2309	London	Saturday	1542	20231007	1
Bob	Web_Scraper	1152	Remote	Tuesday	2304	20231205	0
Delta_Bot	Manual_Entry	713	Remote	Thursday	0018	20230518	0
Charlie	Web_Scraper	1082	Mumbai	Wednesday	1648	20230222	1
